id,source,title,description,url,published_at,collected_at
cvgz155y9exo?at_medium=RSS&at_campaign=rss,BBC News,Election results so far at a glance - and what's still to come,Reform UK has made gains at the expense of Labour and the Conservatives in early council election results overnight.,https://www.bbc.com/news/articles/cvgz155y9exo?at_medium=RSS&at_campaign=rss,"Fri, 08 May 2026 05:05:09 GMT",2026-05-08T05:49:39.847987
cdrpxvz61vko?at_medium=RSS&at_campaign=rss,BBC News,Labour expected to lose Senedd after century of winning elections in Wales,Labour sources have told the BBC the party's century-long winning run is expected to come to an end.,https://www.bbc.com/news/articles/cdrpxvz61vko?at_medium=RSS&at_campaign=rss,"Fri, 08 May 2026 05:03:27 GMT",2026-05-08T05:49:39.848019
cn4pyrnmplgo?at_medium=RSS&at_campaign=rss,BBC News,Six things to watch out for in the Scottish election,Results are expected to be announced across the country from early on Friday afternoon.,https://www.bbc.com/news/articles/cn4pyrnmplgo?at_medium=RSS&at_campaign=rss,"Fri, 08 May 2026 05:08:09 GMT",2026-05-08T05:49:39.848037
c0ljrp76ywxo?at_medium=RSS&at_campaign=rss,BBC News,What early election results show us in maps and charts,"See which parties are winning - and losing – across the UK and who’s won in your area, using our interactive tool.",https://www.bbc.com/news/articles/c0ljrp76ywxo?at_medium=RSS&at_campaign=rss,"Fri, 08 May 2026 05:07:31 GMT",2026-05-08T05:49:39.848053
cp3pww9g0p5o?at_medium=RSS&at_campaign=rss,BBC News,David Attenborough says he is 'overwhelmed' by 100th birthday messages,The legendary wildlife broadcaster thanks fans in a message the day before he reaches his centenary.,https://www.bbc.com/news/articles/cp3pww9g0p5o?at_medium=RSS&at_campaign=rss,"Thu, 07 May 2026 16:00:10 GMT",2026-05-08T05:49:39.848069
c1e2pdw1808o?at_medium=RSS&at_campaign=rss,BBC News,Quiz: Which facial feature almost stopped Attenborough's TV career?,Sir David Attenborough turns 100. How well do you know the broadcaster's life and career?,https://www.bbc.com/news/articles/c1e2pdw1808o?at_medium=RSS&at_campaign=rss,"Thu, 07 May 2026 10:14:14 GMT",2026-05-08T05:49:39.848086
c626zyywxjno?at_medium=RSS&at_campaign=rss,BBC News,Trump says US-Iran ceasefire still in place after exchange of fire in Strait of Hormuz,"Iran accuses the US of violating the truce, alleging it targeted an oil tanker and carried out attacks on coastal areas.",https://www.bbc.com/news/articles/c626zyywxjno?at_medium=RSS&at_campaign=rss,"Fri, 08 May 2026 04:28:00 GMT",2026-05-08T05:49:39.848105
cnvpzgn26edo?at_medium=RSS&at_campaign=rss,BBC News,"Hantavirus outbreak on cruise ship not start of pandemic, UN health agency says",Ther World Health Organization says it is not in the same situation as with Covid-19 because hantavirus spreads differently.,https://www.bbc.com/news/articles/cnvpzgn26edo?at_medium=RSS&at_campaign=rss,"Thu, 07 May 2026 17:55:08 GMT",2026-05-08T05:49:39.848122
c4g0d1wp6g8o?at_medium=RSS&at_campaign=rss,BBC News,Man charged with allegedly threatening Andrew Mountbatten-Windsor,"Alex Jenkinson, 39, of Stowmarket, Suffolk, has been remanded in custody ahead of a court appearance.",https://www.bbc.com/news/articles/c4g0d1wp6g8o?at_medium=RSS&at_campaign=rss,"Thu, 07 May 2026 22:39:19 GMT",2026-05-08T05:49:39.848138
c707edw539ro?at_medium=RSS&at_campaign=rss,BBC News,Bonnie Tyler in induced coma after emergency surgery,The Total Eclipse of the Heart singer was rushed to hospital for emergency surgery in Portugal on Wednesday.,https://www.bbc.com/news/articles/c707edw539ro?at_medium=RSS&at_campaign=rss,"Thu, 07 May 2026 19:59:50 GMT",2026-05-08T05:49:39.848155
clypzxl3lvqo?at_medium=RSS&at_campaign=rss,BBC News,Instagram privacy tech is turned off today - what does this mean for your DMs?,"The platform said it would remove end-to-end encrypted messages, a major U‑turn by parent company Meta.",https://www.bbc.com/news/articles/clypzxl3lvqo?at_medium=RSS&at_campaign=rss,"Fri, 08 May 2026 01:31:55 GMT",2026-05-08T05:49:39.848170
cdrpx8pl36vo?at_medium=RSS&at_campaign=rss,BBC News,Two Islamic-State linked Australian women charged with crimes against humanity,A third woman who also returned to Australia from Syria was charged with joining a terrorist organisation.,https://www.bbc.com/news/articles/cdrpx8pl36vo?at_medium=RSS&at_campaign=rss,"Fri, 08 May 2026 05:07:55 GMT",2026-05-08T05:49:39.848186
